clip,status,n_frames_input,n_frames_cut,start_frame,stop_frame,cut_path
B10_kinect,ok,86,86,108,193,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B10_kinect.csv
B11_kinect,ok,121,121,70,190,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B11_kinect.csv
B12_kinect,ok,84,84,106,189,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B12_kinect.csv
B13_kinect,ok,87,87,153,239,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B13_kinect.csv
B14_kinect,ok,92,92,113,204,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B14_kinect.csv
B15_kinect,ok,93,93,111,203,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B15_kinect.csv
B16_kinect,ok,84,84,124,207,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B16_kinect.csv
B17_kinect,ok,98,98,110,207,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B17_kinect.csv
B18_kinect,too_short_2_frames,89,2,108,109,
B19_kinect,ok,95,95,101,195,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B19_kinect.csv
B1_kinect,ok,53,53,69,121,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B1_kinect.csv
B20_kinect,ok,99,99,98,196,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B20_kinect.csv
B21_kinect,ok,103,103,98,200,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B21_kinect.csv
B22_kinect,ok,84,84,90,173,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B22_kinect.csv
B2_kinect,ok,89,89,29,117,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B2_kinect.csv
B3_kinect,ok,87,87,23,109,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B3_kinect.csv
B5_kinect,ok,99,99,41,139,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B5_kinect.csv
B6_kinect,ok,106,106,157,262,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B6_kinect.csv
B7_kinect,ok,96,96,123,218,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B7_kinect.csv
B8_kinect,ok,88,88,108,195,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B8_kinect.csv
B9_kinect,ok,88,88,96,183,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/B9_kinect.csv
A1_kinect,ok,112,112,68,179,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A1_kinect.csv
